NAME,CEEPR_NAMES,TERRITORIES_TO_MAP,STATES _W_SRVC_TERRITORY,CEEPR_NAMES,ISO/RTO
CITY OF ANSLEY - (NE),,,,,
CITY OF ANTHON - (IA),,,,,
CITY OF ANTHONY - (KS),,,,,
CITY OF APLINGTON,,,,,
CITY OF ARAPAHOE - (NE),,,,,
CITY OF ARCADIA - (KS),,,,,
CITY OF ARCADIA - (WI),,,,,
CITY OF ARCANUM - (OH),,,,,
CITY OF ARGYLE - (WI),,,,,
CITY OF ARLINGTON - (MN),,,,,
CITY OF ARLINGTON - (SD),,,,,
CITY OF ARMA - (KS),,,,,
CITY OF ASHLAND - (KS),,,,,
CITY OF ASHLAND - (OR),,,,,
CITY OF ASPEN- (CO),,,,,
CITY OF ATHENS - (AL),,,,,
CITY OF ATKA - (AK),,,,,
CITY OF ATTICA - (KS),,,,,
CITY OF AUBURN - (IA),,,,,
CITY OF AUBURN - (IN),,,,,
CITY OF AUGUSTA - (AR),,,,,
CITY OF AUGUSTA - (KS),,,,,
CITY OF AURELIA - (IA),,,,,
CITY OF AURORA - (SD),,,,,
CITY OF AUSTIN - (MN),,,,,
CITY OF AVA - (MO),,,,,
CITY OF AXTELL - (KS),,,,,
CITY OF AZTEC - (NM),,,,,
CITY OF AZUSA,,,,,
CITY OF BADGER - (SD),,,,,
CITY OF BALDWIN CITY- (KS),,,,,
CITY OF BANDON - (OR),,,,,
CITY OF BANNING - (CA),,,,,
CITY OF BARDSTOWN - (KY),,,,,
CITY OF BARDWELL - (KY),,,,,
CITY OF BARNESVILLE - (GA),,,,,
CITY OF BARNESVILLE - (MN),,,,,
CITY OF BARRON - (WI),,,,,
CITY OF BARTLETT - (TX),,,,,
CITY OF BARTOW - (FL),,,,,
CITY OF BASTROP - (TX),,,,,
CITY OF BATAVIA - (IL),,,,,
CITY OF BATTLE CREEK- (NE),,,,,
CITY OF BAUDETTE - (MN),,,,,
CITY OF BAY CITY - (MI),,,,,
CITY OF BAYARD - (NE),,,,,
CITY OF BEATRICE - (NE),,,,,
CITY OF BEAVER CITY - (NE),,,,,
CITY OF BELLEVILLE - (KS),,,,,
CITY OF BELLEVUE - (IA),,,,,
CITY OF BELLVILLE - (TX),,,,,
CITY OF BELOIT - (KS),,,,,
CITY OF BENHAM,,,,,
CITY OF BENKELMAN - (NE),,,,,
CITY OF BENNETTSVILLE - (SC),,,,,
CITY OF BENSON - (MN),,,,,
CITY OF BENTON - (AR),,,,,
CITY OF BENTON - (KY),,,,,
CITY OF BENTONVILLE - (AR),,,,,
CITY OF BEREA MUNICIPAL UTILITY,,,,,
CITY OF BERESFORD,,,,,
CITY OF BESSEMER UTILITIES,,,,,
CITY OF BETHANY - (MO),,,,,
CITY OF BIG STONE CITY - (SD),,,,,
CITY OF BIGELOW - (MN),,,,,
CITY OF BIGGS - (CA),,,,,
CITY OF BIWABIK - (MN),,,,,
CITY OF BLACK RIVER FALLS,,,,,
CITY OF BLACKWELL - (OK),,,,,
CITY OF BLAINE - (WA),,,,,
CITY OF BLAKELY - (GA),,,,,
CITY OF BLANDING - (UT),,,,,
CITY OF BLOOMFIELD - (IA),,,,,
CITY OF BLOOMING PRAIRIE - (MN),,,,,
CITY OF BLOUNTSTOWN - (FL),,,,,
CITY OF BLUE HILL - (NE),,,,,
CITY OF BLUE MOUND - (KS),,,,,
CITY OF BLUFFTON - (IN),,,,,
CITY OF BOERNE,,,,,
CITY OF BONNERS FERRY,,,,,
CITY OF BOSCOBEL - (WI),,,,,
CITY OF BOULDER CITY - (NV),,,,,
CITY OF BOUNTIFUL,,,,,
CITY OF BOWIE - (TX),,,,,
CITY OF BOWLING GREEN - (KY),,,,,
CITY OF BOWLING GREEN - (OH),,,,,
CITY OF BRADY - (TX),,,,,
CITY OF BRECKENRIDGE- (MN),,,,,
CITY OF BREDA - (IA),,,,,
CITY OF BREESE - (IL),,,,,
CITY OF BRENHAM - (TX),,,,,
CITY OF BREWSTER - (MN),,,,,
CITY OF BRIDGEPORT - (TX),,,,,
CITY OF BRIDGEPORT UTILITIES - (NE),,,,,
CITY OF BRISTOL - (TN),,,,,
CITY OF BROKEN BOW - (NE),,,,,
CITY OF BRONSON,,,,,
CITY OF BROOKINGS - (SD),,,,,
CITY OF BROOKLYN - (IA),,,,,
CITY OF BROWNFIELD - (TX),,,,,
CITY OF BROWNSVILLE,,,,,
CITY OF BROWNTON - (MN),,,,,
CITY OF BRUNDIDGE - (AL),,,,,
CITY OF BRYAN - (OH),,,,,
CITY OF BRYAN - (TX),,,,,
CITY OF BRYANT - (SD),,,,,
CITY OF BUFFALO - (IA),,,,,
CITY OF BUFFALO - (MN),,,,,
CITY OF BUFORD,,,,,
CITY OF BUHL - (MN),,,,,
CITY OF BURBANK WATER AND POWER,,,,,
CITY OF BURKE - (SD),,,,,
CITY OF BURLEY - (ID),,,,,
CITY OF BURLINGAME - (KS),,,,,
CITY OF BURLINGTON - (CO),,,,,
CITY OF BURLINGTON - (KS),,,,,
CITY OF BURLINGTON - (OK),,,,,
CITY OF BURLINGTON ELECTRIC - (VT),,,,,
CITY OF BURNET - (TX),,,,,
CITY OF BURT,,,,,
CITY OF BURWELL - (NE),,,,,
CITY OF BUSHNELL - (FL),,,,,
CITY OF BUSHNELL - (IL),,,,,
CITY OF BUTLER - (MO),,,,,
CITY OF CABOOL - (MO),,,,,
CITY OF CAIRO - (GA),,,,,
